play_pattern,under_pressure,body_part,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,assisted,distance,angle,duration,goal
Regular Play,0,head,Normal,0,0,0,0,0,0,1,7.280109889280517,15.945395900922856,0.857334,1
From Keeper,0,foot,Normal,0,0,0,1,0,0,1,21.213203435596427,45.0,0.6875,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,9.055385138137416,6.340191745909909,0.516504,0
From Corner,0,foot,Normal,0,0,1,0,1,0,0,1.0,0.0,1.306247,1
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,17.691806012954128,42.709389957361466,0.193681,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,12.16552506059644,9.462322208025618,0.408763,1
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,13.92838827718412,21.037511025421818,0.161301,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,15.231546211727816,23.198590513648185,0.03935,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,1,32.2490309931942,29.74488129694222,1.539505,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,8.06225774829855,7.125016348901798,0.28,0
From Corner,0,foot,Normal,0,0,1,0,1,0,0,2.23606797749979,63.43494882292201,0.700033,1
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,22.36067977499789,26.56505117707799,1.0596,0
From Throw In,0,foot,Normal,0,0,0,1,0,0,1,9.848857801796104,66.03751102542182,0.42485,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,28.0,0.0,0.905115,0
From Counter,0,foot,Volley,1,0,0,0,0,0,1,9.219544457292887,12.528807709151511,0.586978,0
Regular Play,0,foot,Normal,0,1,0,0,0,0,1,12.369316876852979,75.96375653207353,0.2742,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,15.620499351813306,39.805571092265204,0.229,0
From Corner,0,foot,Normal,0,0,0,0,0,0,0,7.071067811865476,8.130102354155978,0.455,0
From Corner,0,foot,Normal,0,0,0,0,0,0,0,3.0,0.0,0.4805180000000001,1
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,23.706539182259394,27.64597536373868,1.106166,0
From Throw In,0,foot,Normal,0,1,0,0,0,0,1,32.38826948140329,8.880659150520243,1.156795,1
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,18.681541692269406,15.524110996754258,1.157579,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,13.601470508735444,17.102728969052375,0.124493,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,9.486832980505136,18.434948822922014,1.166262,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,34.928498393145965,23.629377730656813,1.810763,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,28.46049894151541,71.56505117707798,1.798148,1
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,24.59674775249769,26.56505117707799,1.45956,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,22.203603311174522,35.83765295427829,0.568,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,29.681644159311663,32.61924307119283,1.117866,0
From Throw In,1,foot,Normal,0,0,0,0,0,0,0,30.23243291566195,34.21570213243741,3.551185,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,6.324555320336759,18.434948822922014,1.0288,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,17.029386365926403,49.763641690726175,0.768079,0
From Throw In,1,foot,Normal,0,0,0,0,0,0,1,31.953090617340923,20.136303428248134,2.4425,0
